variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_large,1024,10000,43,256,200,4317.18,0.263245,235983,1,0.24472,213087
cuda_optimized,instance_large,1024,10000,44,256,200,4314.25,0.262295,234727,1,0.245718,213969
cuda_optimized,instance_large,1024,10000,45,256,200,4324.92,0.262558,234879,1,0.245646,213981
cuda_optimized,instance_large,1024,10000,46,256,200,4323.06,0.262048,234041,1,0.245272,213562
cuda_optimized,instance_large,1024,10000,47,256,200,4317.21,0.262823,234909,1,0.245997,214221
cuda_optimized,instance_large,1024,10000,48,256,200,4320.9,0.26334,235472,1,0.245977,214240
cuda_optimized,instance_large,1024,10000,49,256,200,4333.78,0.263266,235038,1,0.246041,214266
cuda_optimized,instance_large,1024,10000,50,256,200,4328.66,0.262398,235026,1,0.246012,214306
cuda_optimized,instance_large,1024,10000,51,256,200,4317.36,0.261486,233185,1,0.245457,213763
cuda_optimized,instance_large,4096,10000,42,256,200,13812.3,0.270572,243883,1,0.247718,215743
cuda_optimized,instance_large,4096,10000,43,256,200,13788.7,0.270345,242908,1,0.246948,215064
cuda_optimized,instance_large,4096,10000,44,256,200,13817.1,0.26893,242818,1,0.24608,214354
cuda_optimized,instance_large,4096,10000,45,256,200,13798.2,0.269741,243233,1,0.245734,214058
cuda_optimized,instance_large,4096,10000,46,256,200,13809.5,0.269912,242927,1,0.245671,213959
cuda_optimized,instance_large,4096,10000,47,256,200,13793.2,0.269346,242014,1,0.246072,214329
cuda_optimized,instance_large,4096,10000,48,256,200,13750.3,0.270905,243586,1,0.247136,215301
cuda_optimized,instance_large,4096,10000,49,256,200,13751.2,0.270055,243423,1,0.246299,214485
cuda_optimized,instance_large,4096,10000,50,256,200,13804,0.269874,242866,1,0.247706,215705
cuda_optimized,instance_large,4096,10000,51,256,200,13775.6,0.270787,242443,1,0.246319,214504
cuda_optimized,instance_large,16384,10000,42,256,200,52393.4,0.276177,249099,1,0.247752,215775
cuda_optimized,instance_large,16384,10000,43,256,200,52338.7,0.276565,249910,1,0.247219,215304
cuda_optimized,instance_large,16384,10000,44,256,200,52413.6,0.27642,250658,1,0.246538,214728
cuda_optimized,instance_large,16384,10000,45,256,200,52481.5,0.277169,250330,1,0.248205,216164
cuda_optimized,instance_large,16384,10000,46,256,200,52349.4,0.27702,250243,1,0.247032,215184
cuda_optimized,instance_large,16384,10000,47,256,200,52372.6,0.276845,250973,1,0.246435,214654
cuda_optimized,instance_large,16384,10000,48,256,200,52395.8,0.277058,250344,1,0.247422,215474
cuda_optimized,instance_large,16384,10000,49,256,200,52397,0.276529,251150,1,0.247301,215389
cuda_optimized,instance_large,16384,10000,50,256,200,52323.5,0.276692,250858,1,0.247457,215499
cuda_optimized,instance_large,16384,10000,51,256,200,52340.9,0.276901,250306,1,0.246565,214787
