variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_basic,instance_medium,4096,1000,50,256,200,894.321,195.412,7.7456,2.66922,0.383788,37857.9,1,0.259642,22373.8
cuda_basic,instance_medium,4096,1000,51,256,200,882.914,195.106,7.68982,2.6817,0.383244,37518.9,1,0.263028,22665
cuda_basic,instance_medium,16384,1000,42,256,200,2879.89,309.605,9.40397,3.52208,0.391261,39292.1,1,0.260662,22458
cuda_basic,instance_medium,16384,1000,43,256,200,2877.19,303.48,9.33322,3.46035,0.394387,38894.1,1,0.259473,22357.5
cuda_basic,instance_medium,16384,1000,44,256,200,2869.05,298.041,9.40717,3.48986,0.392902,39515.1,1,0.260899,22469.9
cuda_basic,instance_medium,16384,1000,45,256,200,2874.48,305.655,9.48125,3.47958,0.394058,38727.5,1,0.260235,22395.6
cuda_basic,instance_medium,16384,1000,46,256,200,2866.53,300.651,9.40435,3.50858,0.395269,39580.5,1,0.259935,22381.8
cuda_basic,instance_medium,16384,1000,47,256,200,2871.97,308.183,9.41715,3.52864,0.395237,39360,1,0.263955,22732.7
cuda_basic,instance_medium,16384,1000,48,256,200,2876.26,302.228,9.58544,3.50099,0.393898,38851.2,1,0.264824,22798.8
cuda_basic,instance_medium,16384,1000,49,256,200,2877.11,309.639,9.45674,3.49744,0.394503,39122.8,1,0.260518,22430.2
cuda_basic,instance_medium,16384,1000,50,256,200,2879.91,303.476,9.38992,3.51078,0.393926,38955.9,1,0.261033,22471
cuda_basic,instance_medium,16384,1000,51,256,200,2855.73,298.336,9.48573,3.47322,0.39458,38859.4,1,0.263128,22671.8
cuda_basic,instance_large,1024,10000,42,256,200,4792.16,1732.57,7.11104,3.12019,0.261833,234374,1,0.245302,213637
cuda_basic,instance_large,1024,10000,43,256,200,4797.85,1732.79,7.10605,3.12867,0.263226,234438,1,0.24472,213087
cuda_basic,instance_large,1024,10000,44,256,200,4790.32,1729.77,7.08058,3.11296,0.261796,233089,1,0.245718,213969
cuda_basic,instance_large,1024,10000,45,256,200,4784.5,1731.37,6.94982,3.11197,0.262201,233848,1,0.245646,213981
cuda_basic,instance_large,1024,10000,46,256,200,4802.78,1745.9,7.00842,3.14365,0.262243,233934,1,0.245284,213565
cuda_basic,instance_large,1024,10000,47,256,200,4795.82,1739.99,7.08166,3.10982,0.262199,234029,1,0.245791,214033
cuda_basic,instance_large,1024,10000,48,256,200,4796.01,1740.33,7.12138,3.13469,0.262748,235038,1,0.245977,214240
cuda_basic,instance_large,1024,10000,49,256,200,4795.12,1739.03,7.15552,3.1496,0.262415,234884,1,0.246041,214266
cuda_basic,instance_large,1024,10000,50,256,200,4800.52,1739.91,7.00077,3.15472,0.263616,235965,1,0.246012,214306
cuda_basic,instance_large,1024,10000,51,256,200,4786.84,1740.04,7.02886,3.12102,0.2618,234125,1,0.245222,213558
cuda_basic,instance_large,4096,10000,42,256,200,13712,1776.26,6.27555,5.21949,0.27071,243448,1,0.248473,216402
cuda_basic,instance_large,4096,10000,43,256,200,13674.2,1783.9,6.17875,5.2343,0.270663,242807,1,0.246948,215064
cuda_basic,instance_large,4096,10000,44,256,200,13685,1774.77,6.2863,5.33725,0.269555,243260,1,0.246118,214389
cuda_basic,instance_large,4096,10000,45,256,200,13800.3,1788.33,6.28739,5.30243,0.26939,242393,1,0.245734,214058
cuda_basic,instance_large,4096,10000,46,256,200,13688.1,1780.17,6.29568,5.31491,0.27065,243383,1,0.245671,213959
cuda_basic,instance_large,4096,10000,47,256,200,13675.7,1784.56,6.16941,5.29328,0.26916,241720,1,0.246132,214387
cuda_basic,instance_large,4096,10000,48,256,200,13670.7,1778.04,6.31853,5.292,0.271156,243739,1,0.246682,214810
cuda_basic,instance_large,4096,10000,49,256,200,13715.8,1783.1,6.21939,5.27702,0.269623,242611,1,0.246372,214551
cuda_basic,instance_large,4096,10000,50,256,200,13693.9,1778.19,6.35203,5.35437,0.270436,243290,1,0.247805,215793
cuda_basic,instance_large,4096,10000,51,256,200,13697,1789.7,6.30144,5.29853,0.271599,243602,1,0.246324,214509
