variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
sequential,instance_small,1024,100,42,256,95,441.084,0.398401,3668.92,1,0.286398,2321.66
sequential,instance_small,1024,100,43,256,86,390.265,0.398401,3668.92,1,0.294382,2399.24
sequential,instance_small,1024,100,44,256,101,456.227,0.398401,3668.92,1,0.291603,2370.27
sequential,instance_small,1024,100,45,256,101,457.95,0.398401,3668.92,1,0.284774,2314.99
sequential,instance_small,1024,100,46,256,96,440.485,0.39803,3766.28,1,0.291371,2368.39
sequential,instance_small,1024,100,47,256,89,404.787,0.398401,3668.92,1,0.299022,2428.71
sequential,instance_small,1024,100,48,256,102,460.417,0.398401,3668.92,1,0.287884,2341.78
sequential,instance_small,1024,100,49,256,94,426.037,0.398401,3668.92,1,0.302163,2457.37
sequential,instance_small,1024,100,50,256,84,390.637,0.39803,3766.28,1,0.288661,2346.45
sequential,instance_small,1024,100,51,256,100,457.472,0.39803,3766.28,1,0.303154,2462.16
sequential,instance_small,4096,100,42,256,76,1411.79,0.398401,3668.92,1,0.307992,2504.56
sequential,instance_small,4096,100,43,256,78,1444.4,0.39803,3766.28,1,0.303776,2467.19
sequential,instance_small,4096,100,44,256,79,1480.06,0.398401,3668.92,1,0.28961,2352.52
sequential,instance_small,4096,100,45,256,72,1328.8,0.398401,3668.92,1,0.29217,2370
sequential,instance_small,4096,100,46,256,77,1451.09,0.39803,3766.28,1,0.30802,2503.17
sequential,instance_small,4096,100,47,256,77,1440.93,0.39803,3766.28,1,0.300497,2440.65
sequential,instance_small,4096,100,48,256,77,1452.1,0.39803,3766.28,1,0.292632,2380.22
sequential,instance_small,4096,100,49,256,73,1369.37,0.398401,3668.92,1,0.302163,2457.37
sequential,instance_small,4096,100,50,256,77,1445.94,0.39803,3766.28,1,0.308265,2505.15
sequential,instance_small,4096,100,51,256,73,1365,0.398401,3668.92,1,0.312311,2537.9
sequential,instance_small,16384,100,42,256,76,5702.99,0.398401,3668.92,1,0.300018,2438.39
sequential,instance_small,16384,100,43,256,71,5431.31,0.39803,3766.28,1,0.303865,2471.15
sequential,instance_small,16384,100,44,256,73,5567.33,0.398401,3668.92,1,0.298144,2418.36
sequential,instance_small,16384,100,45,256,70,5302.39,0.398401,3668.92,1,0.308706,2505.48
sequential,instance_small,16384,100,46,256,70,5361.34,0.39803,3766.28,1,0.298352,2418.43
sequential,instance_small,16384,100,47,256,70,5305.05,0.398401,3668.92,1,0.310256,2519.65
sequential,instance_small,16384,100,48,256,71,5346.97,0.398401,3668.92,1,0.29788,2421.08
sequential,instance_small,16384,100,49,256,71,5422.43,0.398401,3668.92,1,0.305792,2485.13
sequential,instance_small,16384,100,50,256,74,5591.53,0.39803,3766.28,1,0.2991,2429.34
sequential,instance_small,16384,100,51,256,73,5507.08,0.398401,3668.92,1,0.315908,2575.12
sequential,instance_medium,1024,1000,42,256,200,5519.1,0.364159,35079.1,1,0.256345,22081.7
sequential,instance_medium,1024,1000,43,256,200,5786.27,0.362243,35702.4,1,0.256953,22125.4
sequential,instance_medium,1024,1000,44,256,200,5623.36,0.364859,35878.4,1,0.255459,21988.3
sequential,instance_medium,1024,1000,45,256,200,5639.32,0.360019,34544.5,1,0.257821,22198.3
